Source,Target,Label,Type
7,116,"Edge 7 to 116","Mixed"
8,1,"Edge 8 to 1","Mixed"
8,2,"Edge 8 to 2","Mixed"
8,3,"Edge 8 to 3","Mixed"
8,4,"Edge 8 to 4","Mixed"
8,5,"Edge 8 to 5","Mixed"
8,11,"Edge 8 to 11","Mixed"
8,15,"Edge 8 to 15","Mixed"
8,18,"Edge 8 to 18","Mixed"
8,19,"Edge 8 to 19","Mixed"
8,22,"Edge 8 to 22","Mixed"
8,25,"Edge 8 to 25","Mixed"
8,26,"Edge 8 to 26","Mixed"
8,30,"Edge 8 to 30","Mixed"
8,42,"Edge 8 to 42","Mixed"
8,58,"Edge 8 to 58","Mixed"
8,59,"Edge 8 to 59","Mixed"
8,66,"Edge 8 to 66","Mixed"
8,71,"Edge 8 to 71","Mixed"
8,73,"Edge 8 to 73","Mixed"
8,87,"Edge 8 to 87","Mixed"
8,105,"Edge 8 to 105","Mixed"
8,109,"Edge 8 to 109","Mixed"
9,1,"Edge 9 to 1","Mixed"
9,2,"Edge 9 to 2","Mixed"
9,3,"Edge 9 to 3","Mixed"
9,4,"Edge 9 to 4","Mixed"
9,5,"Edge 9 to 5","Mixed"
9,11,"Edge 9 to 11","Mixed"
9,12,"Edge 9 to 12","Mixed"
9,18,"Edge 9 to 18","Mixed"
9,19,"Edge 9 to 19","Mixed"
9,20,"Edge 9 to 20","Mixed"
9,22,"Edge 9 to 22","Mixed"
9,24,"Edge 9 to 24","Mixed"
9,25,"Edge 9 to 25","Mixed"
9,26,"Edge 9 to 26","Mixed"
9,48,"Edge 9 to 48","Mixed"
9,52,"Edge 9 to 52","Mixed"
9,68,"Edge 9 to 68","Mixed"
9,78,"Edge 9 to 78","Mixed"
9,80,"Edge 9 to 80","Mixed"
9,84,"Edge 9 to 84","Mixed"
9,89,"Edge 9 to 89","Mixed"
9,93,"Edge 9 to 93","Mixed"
10,1,"Edge 10 to 1","Mixed"
10,2,"Edge 10 to 2","Mixed"
10,3,"Edge 10 to 3","Mixed"
10,4,"Edge 10 to 4","Mixed"
10,5,"Edge 10 to 5","Mixed"
10,12,"Edge 10 to 12","Mixed"
