Source,Target,Label,Type
27,8,"Edge 27 to 8","Mixed"
27,31,"Edge 27 to 31","Mixed"
28,1,"Edge 28 to 1","Mixed"
28,3,"Edge 28 to 3","Mixed"
28,54,"Edge 28 to 54","Mixed"
28,82,"Edge 28 to 82","Mixed"
29,3,"Edge 29 to 3","Mixed"
29,4,"Edge 29 to 4","Mixed"
29,95,"Edge 29 to 95","Mixed"
30,1,"Edge 30 to 1","Mixed"
30,8,"Edge 30 to 8","Mixed"
31,25,"Edge 31 to 25","Mixed"
31,27,"Edge 31 to 27","Mixed"
31,54,"Edge 31 to 54","Mixed"
32,6,"Edge 32 to 6","Mixed"
32,7,"Edge 32 to 7","Mixed"
32,56,"Edge 32 to 56","Mixed"
33,2,"Edge 33 to 2","Mixed"
33,26,"Edge 33 to 26","Mixed"
33,38,"Edge 33 to 38","Mixed"
33,43,"Edge 33 to 43","Mixed"
33,58,"Edge 33 to 58","Mixed"
33,78,"Edge 33 to 78","Mixed"
34,1,"Edge 34 to 1","Mixed"
34,8,"Edge 34 to 8","Mixed"
34,38,"Edge 34 to 38","Mixed"
34,46,"Edge 34 to 46","Mixed"
35,8,"Edge 35 to 8","Mixed"
35,13,"Edge 35 to 13","Mixed"
36,4,"Edge 36 to 4","Mixed"
36,7,"Edge 36 to 7","Mixed"
37,1,"Edge 37 to 1","Mixed"
37,3,"Edge 37 to 3","Mixed"
38,33,"Edge 38 to 33","Mixed"
38,34,"Edge 38 to 34","Mixed"
38,91,"Edge 38 to 91","Mixed"
39,1,"Edge 39 to 1","Mixed"
39,12,"Edge 39 to 12","Mixed"
39,62,"Edge 39 to 62","Mixed"
40,4,"Edge 40 to 4","Mixed"
40,7,"Edge 40 to 7","Mixed"
40,76,"Edge 40 to 76","Mixed"
41,1,"Edge 41 to 1","Mixed"
41,22,"Edge 41 to 22","Mixed"
41,86,"Edge 41 to 86","Mixed"
41,90,"Edge 41 to 90","Mixed"
42,1,"Edge 42 to 1","Mixed"
42,3,"Edge 42 to 3","Mixed"
42,50,"Edge 42 to 50","Mixed"
42,83,"Edge 42 to 83","Mixed"
43,18,"Edge 43 to 18","Mixed"
43,33,"Edge 43 to 33","Mixed"
43,58,"Edge 43 to 58","Mixed"
44,6,"Edge 44 to 6","Mixed"
44,18,"Edge 44 to 18","Mixed"
45,5,"Edge 45 to 5","Mixed"
45,8,"Edge 45 to 8","Mixed"
46,3,"Edge 46 to 3","Mixed"
46,34,"Edge 46 to 34","Mixed"
47,3,"Edge 47 to 3","Mixed"
47,22,"Edge 47 to 22","Mixed"
48,7,"Edge 48 to 7","Mixed"
48,14,"Edge 48 to 14","Mixed"
48,99,"Edge 48 to 99","Mixed"
49,1,"Edge 49 to 1","Mixed"
49,23,"Edge 49 to 23","Mixed"
50,21,"Edge 50 to 21","Mixed"
50,42,"Edge 50 to 42","Mixed"
50,57,"Edge 50 to 57","Mixed"
50,88,"Edge 50 to 88","Mixed"
51,12,"Edge 51 to 12","Mixed"
51,18,"Edge 51 to 18","Mixed"
52,2,"Edge 52 to 2","Mixed"
52,5,"Edge 52 to 5","Mixed"
53,14,"Edge 53 to 14","Mixed"
53,22,"Edge 53 to 22","Mixed"
53,67,"Edge 53 to 67","Mixed"
53,71,"Edge 53 to 71","Mixed"
53,99,"Edge 53 to 99","Mixed"
54,28,"Edge 54 to 28","Mixed"
54,31,"Edge 54 to 31","Mixed"
55,6,"Edge 55 to 6","Mixed"
55,21,"Edge 55 to 21","Mixed"
55,65,"Edge 55 to 65","Mixed"
55,94,"Edge 55 to 94","Mixed"
