Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail,NoSellerFail,AgentType
72,"Node 72", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
73,"Node 73", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
74,"Node 74", 6.00, 0.00, 46.00, 0.00, 0.00,  0,  1
75,"Node 75", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
76,"Node 76", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
77,"Node 77", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
78,"Node 78", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
79,"Node 79", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
80,"Node 80", 0.00, 0.00, 0.00, 0.00, 0.00,  0,  0
81,"Node 81", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
82,"Node 82", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
83,"Node 83", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
84,"Node 84", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
85,"Node 85", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
86,"Node 86", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
87,"Node 87", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
89,"Node 89", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
90,"Node 90", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
91,"Node 91", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
92,"Node 92", 0.00, 0.00, 0.00, 0.00, 0.00, 52,  1
93,"Node 93", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
94,"Node 94", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
95,"Node 95", 2.00, 0.00, 50.00, 0.00, 0.00,  0,  1
96,"Node 96", 3.00, 0.00, 49.00, 0.00, 0.00,  0,  1
97,"Node 97", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
98,"Node 98", 1.00, 0.00, 51.00, 0.00, 0.00,  0,  1
99,"Node 99", 0.00, 0.00, 52.00, 0.00, 0.00,  0,  1
100,"Node 100", 4.00, 0.00, 48.00, 0.00, 0.00,  0,  1
