Source,Target,Label,Type
19,441,"Edge 19 to 441","Undirected"
19,521,"Edge 19 to 521","Undirected"
19,601,"Edge 19 to 601","Undirected"
19,647,"Edge 19 to 647","Undirected"
19,679,"Edge 19 to 679","Undirected"
19,683,"Edge 19 to 683","Undirected"
19,706,"Edge 19 to 706","Undirected"
19,724,"Edge 19 to 724","Undirected"
19,745,"Edge 19 to 745","Undirected"
19,757,"Edge 19 to 757","Undirected"
19,774,"Edge 19 to 774","Undirected"
19,797,"Edge 19 to 797","Undirected"
19,933,"Edge 19 to 933","Undirected"
19,972,"Edge 19 to 972","Undirected"
20,7,"Edge 20 to 7","Undirected"
21,19,"Edge 21 to 19","Undirected"
21,25,"Edge 21 to 25","Undirected"
21,28,"Edge 21 to 28","Undirected"
21,81,"Edge 21 to 81","Undirected"
21,82,"Edge 21 to 82","Undirected"
21,104,"Edge 21 to 104","Undirected"
21,130,"Edge 21 to 130","Undirected"
21,135,"Edge 21 to 135","Undirected"
21,151,"Edge 21 to 151","Undirected"
21,212,"Edge 21 to 212","Undirected"
21,217,"Edge 21 to 217","Undirected"
21,219,"Edge 21 to 219","Undirected"
21,237,"Edge 21 to 237","Undirected"
21,321,"Edge 21 to 321","Undirected"
21,337,"Edge 21 to 337","Undirected"
21,489,"Edge 21 to 489","Undirected"
21,594,"Edge 21 to 594","Undirected"
21,650,"Edge 21 to 650","Undirected"
21,674,"Edge 21 to 674","Undirected"
21,721,"Edge 21 to 721","Undirected"
21,733,"Edge 21 to 733","Undirected"
21,750,"Edge 21 to 750","Undirected"
21,790,"Edge 21 to 790","Undirected"
21,835,"Edge 21 to 835","Undirected"
21,839,"Edge 21 to 839","Undirected"
21,872,"Edge 21 to 872","Undirected"
21,949,"Edge 21 to 949","Undirected"
22,16,"Edge 22 to 16","Undirected"
22,44,"Edge 22 to 44","Undirected"
22,254,"Edge 22 to 254","Undirected"
23,2,"Edge 23 to 2","Undirected"
23,51,"Edge 23 to 51","Undirected"
23,54,"Edge 23 to 54","Undirected"
23,64,"Edge 23 to 64","Undirected"
23,77,"Edge 23 to 77","Undirected"
23,87,"Edge 23 to 87","Undirected"
23,108,"Edge 23 to 108","Undirected"
23,114,"Edge 23 to 114","Undirected"
23,134,"Edge 23 to 134","Undirected"
23,172,"Edge 23 to 172","Undirected"
23,177,"Edge 23 to 177","Undirected"
23,225,"Edge 23 to 225","Undirected"
23,270,"Edge 23 to 270","Undirected"
23,361,"Edge 23 to 361","Undirected"
23,400,"Edge 23 to 400","Undirected"
23,531,"Edge 23 to 531","Undirected"
23,662,"Edge 23 to 662","Undirected"
23,791,"Edge 23 to 791","Undirected"
23,870,"Edge 23 to 870","Undirected"
23,880,"Edge 23 to 880","Undirected"
23,964,"Edge 23 to 964","Undirected"
24,15,"Edge 24 to 15","Undirected"
