Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
60,"Node 60", 3.00, 49.00, 0.00, 0.00, 0.00
61,"Node 61", 2.00, 50.00, 0.00, 0.00, 0.00
62,"Node 62", 0.00, 0.00, 0.00, 0.00, 0.00
63,"Node 63", 2.00, 50.00, 0.00, 0.00, 0.00
64,"Node 64", 0.00, 52.00, 0.00, 0.00, 0.00
65,"Node 65", 0.00, 0.00, 0.00, 0.00, 0.00
66,"Node 66", 0.00, 0.00, 0.00, 0.00, 0.00
67,"Node 67", 2.00, 50.00, 0.00, 0.00, 0.00
68,"Node 68", 1.00, 51.00, 0.00, 0.00, 0.00
69,"Node 69", 6.00, 45.00, 1.00, 0.00, 0.00
70,"Node 70", 8.00, 44.00, 0.00, 0.00, 0.00
71,"Node 71", 3.00, 49.00, 0.00, 0.00, 0.00
72,"Node 72", 0.00, 52.00, 0.00, 0.00, 0.00
73,"Node 73", 1.00, 51.00, 0.00, 0.00, 0.00
74,"Node 74", 0.00, 0.00, 0.00, 0.00, 0.00
75,"Node 75", 3.00, 49.00, 0.00, 0.00, 0.00
76,"Node 76", 9.00, 43.00, 0.00, 0.00, 0.00
77,"Node 77", 2.00, 50.00, 0.00, 0.00, 0.00
78,"Node 78", 0.00, 52.00, 0.00, 0.00, 0.00
79,"Node 79", 2.00, 50.00, 0.00, 0.00, 0.00
80,"Node 80", 6.00, 46.00, 0.00, 0.00, 0.00
81,"Node 81", 0.00, 0.00, 0.00, 0.00, 0.00
82,"Node 82", 5.00, 46.00, 1.00, 0.00, 0.00
83,"Node 83", 1.00, 51.00, 0.00, 0.00, 0.00
84,"Node 84", 0.00, 0.00, 0.00, 0.00, 0.00
85,"Node 85", 0.00, 0.00, 0.00, 0.00, 0.00
86,"Node 86", 0.00, 52.00, 0.00, 0.00, 0.00
87,"Node 87", 2.00, 50.00, 0.00, 0.00, 0.00
88,"Node 88", 2.00, 50.00, 0.00, 0.00, 0.00
89,"Node 89", 0.00, 52.00, 0.00, 0.00, 0.00
90,"Node 90", 2.00, 50.00, 0.00, 0.00, 0.00
91,"Node 91", 0.00, 52.00, 0.00, 0.00, 0.00
92,"Node 92", 3.00, 49.00, 0.00, 0.00, 0.00
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00
94,"Node 94", 2.00, 50.00, 0.00, 0.00, 0.00
95,"Node 95", 2.00, 50.00, 0.00, 0.00, 0.00
96,"Node 96", 4.00, 48.00, 0.00, 0.00, 0.00
97,"Node 97", 1.00, 51.00, 0.00, 0.00, 0.00
98,"Node 98", 8.00, 44.00, 0.00, 0.00, 0.00
99,"Node 99", 7.00, 45.00, 0.00, 0.00, 0.00
100,"Node 100", 6.00, 46.00, 0.00, 0.00, 0.00
101,"Node 101", 3.00, 49.00, 0.00, 0.00, 0.00
