Id,Label,Purchases,PathFail,LiquidityFail,InventoryFail,NoMoneyFail
65,"Node 65", 8.00, 44.00, 0.00, 0.00, 0.00
66,"Node 66", 17.00, 31.00, 4.00, 0.00, 0.00
67,"Node 67", 0.00, 0.00, 0.00, 0.00, 0.00
68,"Node 68", 6.00, 43.00, 3.00, 0.00, 0.00
69,"Node 69", 28.00, 11.00, 13.00, 0.00, 0.00
70,"Node 70", 25.00, 21.00, 6.00, 0.00, 0.00
71,"Node 71", 7.00, 45.00, 0.00, 0.00, 0.00
72,"Node 72", 0.00, 0.00, 0.00, 0.00, 0.00
73,"Node 73", 2.00, 50.00, 0.00, 0.00, 0.00
74,"Node 74", 28.00, 14.00, 10.00, 0.00, 0.00
75,"Node 75", 20.00, 30.00, 2.00, 0.00, 0.00
76,"Node 76", 17.00, 25.00, 10.00, 0.00, 0.00
77,"Node 77", 0.00, 0.00, 0.00, 0.00, 0.00
78,"Node 78", 18.00, 26.00, 8.00, 0.00, 0.00
79,"Node 79", 22.00, 29.00, 1.00, 0.00, 0.00
80,"Node 80", 18.00, 30.00, 4.00, 0.00, 0.00
81,"Node 81", 18.00, 18.00, 16.00, 0.00, 0.00
82,"Node 82", 25.00, 24.00, 3.00, 0.00, 0.00
83,"Node 83", 20.00, 28.00, 4.00, 0.00, 0.00
84,"Node 84", 7.00, 42.00, 3.00, 0.00, 0.00
85,"Node 85", 2.00, 50.00, 0.00, 0.00, 0.00
86,"Node 86", 5.00, 47.00, 0.00, 0.00, 0.00
87,"Node 87", 0.00, 0.00, 0.00, 0.00, 0.00
88,"Node 88", 0.00, 0.00, 0.00, 0.00, 0.00
89,"Node 89", 19.00, 30.00, 3.00, 0.00, 0.00
90,"Node 90", 9.00, 35.00, 8.00, 0.00, 0.00
91,"Node 91", 15.00, 29.00, 8.00, 0.00, 0.00
92,"Node 92", 10.00, 42.00, 0.00, 0.00, 0.00
93,"Node 93", 0.00, 0.00, 0.00, 0.00, 0.00
94,"Node 94", 15.00, 30.00, 7.00, 0.00, 0.00
95,"Node 95", 8.00, 40.00, 4.00, 0.00, 0.00
96,"Node 96", 16.00, 34.00, 2.00, 0.00, 0.00
97,"Node 97", 14.00, 30.00, 8.00, 0.00, 0.00
98,"Node 98", 0.00, 0.00, 0.00, 0.00, 0.00
99,"Node 99", 22.00, 15.00, 15.00, 0.00, 0.00
100,"Node 100", 28.00, 14.00, 10.00, 0.00, 0.00
101,"Node 101", 0.00, 0.00, 0.00, 0.00, 0.00
